date,cases_new,cases_import,cases_recovered,cases_active,deaths_new,vax_daily_doses,vax_cumul_fully_vaccinated,vax_cumul_booster
2021-01-01,2068,2,2230,23434,3,0,0,0
2021-01-02,2295,9,3321,22399,9,0,0,0
2021-01-03,1704,5,2726,21366,11,0,0,0
2021-01-04,1741,8,1010,22090,7,0,0,0
2021-01-05,2027,16,1221,22885,11,0,0,0
2021-01-06,2593,4,1129,24348,1,0,0,0
2021-01-07,3027,6,2145,25222,8,0,0,0
2021-01-08,2643,2,2708,25141,16,0,0,0
2021-01-09,2451,5,1401,26186,5,0,0,0
2021-01-10,2433,7,1277,27333,9,0,0,0
2021-01-11,2232,5,1006,28555,4,0,0,0
2021-01-12,3309,6,1469,30391,4,0,0,0
2021-01-13,2985,2,994,32378,4,0,0,0
2021-01-14,3337,7,1710,33990,15,0,0,0
2021-01-15,3211,5,1939,35254,8,0,0,0
2021-01-16,4029,8,2148,37127,8,0,0,0
2021-01-17,3339,15,2676,37783,7,0,0,0
2021-01-18,3306,7,2293,38792,4,0,0,0
2021-01-19,3631,7,2944,39465,14,0,0,0
2021-01-20,4008,5,2374,41088,11,0,0,0
2021-01-21,3170,8,2490,41756,12,0,0,0
2021-01-22,3631,6,2554,42815,18,0,0,0
2021-01-23,4275,11,4313,42770,7,0,0,0
2021-01-24,3346,7,4427,41678,11,0,0,0
2021-01-25,3048,8,3638,41077,11,0,0,0
2021-01-26,3585,2,4076,40575,11,0,0,0
2021-01-27,3680,6,1858,42390,7,0,0,0
2021-01-28,4094,8,3281,43193,10,0,0,0
2021-01-29,5725,7,3423,45479,16,0,0,0
2021-01-30,5728,5,3805,47389,13,0,0,0
2021-01-31,5298,3,4522,48151,14,0,0,0
2021-02-01,4214,9,4280,48075,10,0,0,0
2021-02-02,3455,5,3661,47848,21,0,0,0
2021-02-03,4284,6,3804,48310,18,0,0,0
2021-02-04,4571,3,4092,48772,17,0,0,0
2021-02-05,3391,4,3392,48752,19,0,0,0
2021-02-06,3847,4,1692,50895,12,0,0,0
2021-02-07,3731,8,3369,51242,15,0,0,0
2021-02-08,3100,1,2340,51978,24,0,0,0
2021-02-09,2764,6,3887,50842,13,0,0,0
2021-02-10,3288,5,1929,52187,14,0,0,0
2021-02-11,3384,15,3774,51796,1,0,0,0
2021-02-12,3318,7,3505,51591,18,0,0,0
2021-02-13,3499,1,3515,51569,6,0,0,0
2021-02-14,2464,3,4525,49500,8,0,0,0
2021-02-15,2176,1,4521,47144,11,0,0,0
2021-02-16,2720,0,5718,44137,9,0,0,0
2021-02-17,2998,7,5709,41403,23,0,0,0
2021-02-18,2712,4,5320,38794,1,0,0,0
2021-02-19,2936,9,4889,36802,39,0,0,0
2021-02-20,2461,0,4782,34472,9,0,0,0
2021-02-21,3297,6,4456,33307,6,0,0,0
2021-02-22,2192,3,3414,32078,7,0,0,0
2021-02-23,2468,4,4055,30471,20,0,0,0
2021-02-24,3545,1,3331,30673,12,69,3,0
2021-02-25,1924,6,3752,28832,13,1152,5,0
2021-02-26,2253,7,3085,27990,10,4116,8,0
2021-02-27,2364,1,3320,27024,10,6726,14,0
2021-02-28,2437,1,3251,26201,9,6726,20,0
2021-03-01,1828,7,2486,25538,5,15403,26,0
2021-03-02,1555,3,2528,24559,6,21688,30,0
2021-03-03,1745,2,2276,24021,7,22689,36,0
2021-03-04,2063,9,2922,23157,5,19528,53,0
2021-03-05,2154,5,3275,22030,6,14377,59,0
2021-03-06,1680,3,2548,21155,7,15848,63,0
